# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  1.546449716648096E-08  1.432170189864908E-09 6121	   6      -3.25      -3.00  1.546449716648096E-08  1.432170189864908E-09 6121	   6      -3.25      -3.00  1.279631831758646E-08  1.202862436943853E-09 6121	   6      -3.25      -3.00  1.279631831758646E-08  1.202862436943853E-09 6121	   6      -3.25      -3.00  1.894206521513106E-08  1.728249893164078E-09 6121	   6      -3.25      -3.00  1.894206521513106E-08  1.728249893164078E-09 6121	   6      -3.25      -3.00  1.546449716648096E-08  1.432170189864908E-09 6121
   7      -3.00      -2.75  9.816009314686570E-06  9.134474590156187E-08 483375	   7      -3.00      -2.75  9.816009314686570E-06  9.134474590156187E-08 483375	   7      -3.00      -2.75  8.634413070843988E-06  8.110196697628218E-08 483375	   7      -3.00      -2.75  8.634413070843988E-06  8.110196697628218E-08 483375	   7      -3.00      -2.75  1.123203490338016E-05  1.035823052357786E-07 483375	   7      -3.00      -2.75  1.123203490338016E-05  1.035823052357786E-07 483375	   7      -3.00      -2.75  9.816009314686570E-06  9.134474590156187E-08 483375
   8      -2.75      -2.50  2.749167595758885E-04  8.743226099449007E-07 4519654	   8      -2.75      -2.50  2.749167595758885E-04  8.743226099449007E-07 4519654	   8      -2.75      -2.50  2.487597935816963E-04  7.942075573511216E-07 4519654	   8      -2.75      -2.50  2.487597935816963E-04  7.942075573511216E-07 4519654	   8      -2.75      -2.50  3.048577615642779E-04  9.669021499771405E-07 4519654	   8      -2.75      -2.50  3.048577615642779E-04  9.669021499771405E-07 4519654	   8      -2.75      -2.50  2.749167595758885E-04  8.743226099449007E-07 4519654
   9      -2.50      -2.25  2.303538232733454E-03  3.654912000913566E-06 16348925	   9      -2.50      -2.25  2.303538232733454E-03  3.654912000913566E-06 16348925	   9      -2.50      -2.25  2.117113176082062E-03  3.364600374941804E-06 16348925	   9      -2.50      -2.25  2.117113176082062E-03  3.364600374941804E-06 16348925	   9      -2.50      -2.25  2.511221944097129E-03  3.984194157101330E-06 16348925	   9      -2.50      -2.25  2.511221944097129E-03  3.984194157101330E-06 16348925	   9      -2.50      -2.25  2.303538232733454E-03  3.654912000913566E-06 16348925
  10      -2.25      -2.00  1.024059832362018E-02  9.896058835329219E-06 37240845	  10      -2.25      -2.00  1.024059832362018E-02  9.896058835329219E-06 37240845	  10      -2.25      -2.00  9.495649141330820E-03  9.171148968374267E-06 37240845	  10      -2.25      -2.00  9.495649141330820E-03  9.171148968374267E-06 37240845	  10      -2.25      -2.00  1.105878433894204E-02  1.071439180398037E-05 37240845	  10      -2.25      -2.00  1.105878433894204E-02  1.071439180398037E-05 37240845	  10      -2.25      -2.00  1.024059832362018E-02  9.896058835329219E-06 37240845
  11      -2.00      -1.75  3.102237108452702E-02  2.114870537437240E-05 66817299	  11      -2.00      -1.75  3.102237108452702E-02  2.114870537437240E-05 66817299	  11      -2.00      -1.75  2.889715496478338E-02  1.963949571868230E-05 66817299	  11      -2.00      -1.75  2.889715496478338E-02  1.963949571868230E-05 66817299	  11      -2.00      -1.75  3.334985381355973E-02  2.286487780624013E-05 66817299	  11      -2.00      -1.75  3.334985381355973E-02  2.286487780624013E-05 66817299	  11      -2.00      -1.75  3.102237108452702E-02  2.114870537437240E-05 66817299
