# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  1.789904799894570E-01  1.328099473873020E-04 147574564	   3      -4.00      -3.75  1.789904799894570E-01  1.328099473873020E-04 147574564	   3      -4.00      -3.75  1.605923007051346E-01  1.174872087169796E-04 147574564	   3      -4.00      -3.75  1.605923007051346E-01  1.174872087169796E-04 147574564	   3      -4.00      -3.75  2.015586277617960E-01  1.522092254526450E-04 147574564	   3      -4.00      -3.75  2.015586277617960E-01  1.522092254526450E-04 147574564	   3      -4.00      -3.75  1.789904799894570E-01  1.328099473873020E-04 147574564
   4      -3.75      -3.50  2.330636123359301E-01  1.570097782133470E-04 161317788	   4      -3.75      -3.50  2.330636123359301E-01  1.570097782133470E-04 161317788	   4      -3.75      -3.50  2.102434796404247E-01  1.395459431715868E-04 161317788	   4      -3.75      -3.50  2.102434796404247E-01  1.395459431715868E-04 161317788	   4      -3.75      -3.50  2.608540639257668E-01  1.790053351797544E-04 161317788	   4      -3.75      -3.50  2.608540639257668E-01  1.790053351797544E-04 161317788	   4      -3.75      -3.50  2.330636123359301E-01  1.570097782133470E-04 161317788
   5      -3.50      -3.25  2.797726557269241E-01  1.749487732449934E-04 168942493	   5      -3.50      -3.25  2.797726557269241E-01  1.749487732449934E-04 168942493	   5      -3.50      -3.25  2.537037115461042E-01  1.562932427504097E-04 168942493	   5      -3.50      -3.25  2.537037115461042E-01  1.562932427504097E-04 168942493	   5      -3.50      -3.25  3.112846848462120E-01  1.982914826650703E-04 168942493	   5      -3.50      -3.25  3.112846848462120E-01  1.982914826650703E-04 168942493	   5      -3.50      -3.25  2.797726557269241E-01  1.749487732449934E-04 168942493
   6      -3.25      -3.00  3.118907194029382E-01  1.846185272549109E-04 170957478	   6      -3.25      -3.00  3.118907194029382E-01  1.846185272549109E-04 170957478	   6      -3.25      -3.00  2.842512178995460E-01  1.657899897614183E-04 170957478	   6      -3.25      -3.00  2.842512178995460E-01  1.657899897614183E-04 170957478	   6      -3.25      -3.00  3.450520350816662E-01  2.080207807872132E-04 170957478	   6      -3.25      -3.00  3.450520350816662E-01  2.080207807872132E-04 170957478	   6      -3.25      -3.00  3.118907194029382E-01  1.846185272549109E-04 170957478
   7      -3.00      -2.75  3.262573700439469E-01  1.853648283027346E-04 168300006	   7      -3.00      -2.75  3.262573700439469E-01  1.853648283027346E-04 168300006	   7      -3.00      -2.75  2.987233548508790E-01  1.673234164408349E-04 168300006	   7      -3.00      -2.75  2.987233548508790E-01  1.673234164408349E-04 168300006	   7      -3.00      -2.75  3.590484305476277E-01  2.076323800180472E-04 168300006	   7      -3.00      -2.75  3.590484305476277E-01  2.076323800180472E-04 168300006	   7      -3.00      -2.75  3.262573700439469E-01  1.853648283027346E-04 168300006
   8      -2.75      -2.50  3.216656379193152E-01  1.752106149128295E-04 161842571	   8      -2.75      -2.50  3.216656379193152E-01  1.752106149128295E-04 161842571	   8      -2.75      -2.50  2.958032341793833E-01  1.590688837276181E-04 161842571	   8      -2.75      -2.50  2.958032341793833E-01  1.590688837276181E-04 161842571	   8      -2.75      -2.50  3.522322806213303E-01  1.949738006026238E-04 161842571	   8      -2.75      -2.50  3.522322806213303E-01  1.949738006026238E-04 161842571	   8      -2.75      -2.50  3.216656379193152E-01  1.752106149128295E-04 161842571
   9      -2.50      -2.25  3.009301192518659E-01  1.607068734440882E-04 152473614	   9      -2.50      -2.25  3.009301192518659E-01  1.607068734440882E-04 152473614	   9      -2.50      -2.25  2.778610075452681E-01  1.466328305483743E-04 152473614	   9      -2.50      -2.25  2.778610075452681E-01  1.466328305483743E-04 152473614	   9      -2.50      -2.25  3.279789749167257E-01  1.778158978505856E-04 152473614	   9      -2.50      -2.25  3.279789749167257E-01  1.778158978505856E-04 152473614	   9      -2.50      -2.25  3.009301192518659E-01  1.607068734440882E-04 152473614
  10      -2.25      -2.00  2.682978372969775E-01  1.405618986521692E-04 140858459	  10      -2.25      -2.00  2.682978372969775E-01  1.405618986521692E-04 140858459	  10      -2.25      -2.00  2.486613010497130E-01  1.289174011313741E-04 140858459	  10      -2.25      -2.00  2.486613010497130E-01  1.289174011313741E-04 140858459	  10      -2.25      -2.00  2.911266115610350E-01  1.545919433837641E-04 140858459	  10      -2.25      -2.00  2.911266115610350E-01  1.545919433837641E-04 140858459	  10      -2.25      -2.00  2.682978372969775E-01  1.405618986521692E-04 140858459
  11      -2.00      -1.75  2.290092715542200E-01  1.196784466776404E-04 127600006	  11      -2.00      -1.75  2.290092715542200E-01  1.196784466776404E-04 127600006	  11      -2.00      -1.75  2.129759850425559E-01  1.102411822527853E-04 127600006	  11      -2.00      -1.75  2.129759850425559E-01  1.102411822527853E-04 127600006	  11      -2.00      -1.75  2.474787599460758E-01  1.309596777948927E-04 127600006	  11      -2.00      -1.75  2.474787599460758E-01  1.309596777948927E-04 127600006	  11      -2.00      -1.75  2.290092715542200E-01  1.196784466776404E-04 127600006
