# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0
   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0
   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0
   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      -8.00      -7.75  1.699891512366247E-03  1.847951330133051E-05 1247442	   5      -8.00      -7.75  1.699891512366247E-03  1.847951330133051E-05 1247442	   5      -8.00      -7.75  1.446004577337065E-03  1.581479357956627E-05 1247442	   5      -8.00      -7.75  1.446004577337065E-03  1.581479357956627E-05 1247442	   5      -8.00      -7.75  2.033464666000896E-03  2.197572390162283E-05 1247442	   5      -8.00      -7.75  2.033464666000896E-03  2.197572390162283E-05 1247442	   5      -8.00      -7.75  1.699891512366247E-03  1.847951330133051E-05 1247442
   6      -7.75      -7.50  6.998997674817303E-03  3.879626367488328E-05 4537562	   6      -7.75      -7.50  6.998997674817303E-03  3.879626367488328E-05 4537562	   6      -7.75      -7.50  5.989691950350311E-03  3.338751060911767E-05 4537562	   6      -7.75      -7.50  5.989691950350311E-03  3.338751060911767E-05 4537562	   6      -7.75      -7.50  8.315594398202290E-03  4.583972976114888E-05 4537562	   6      -7.75      -7.50  8.315594398202290E-03  4.583972976114888E-05 4537562	   6      -7.75      -7.50  6.998997674817303E-03  3.879626367488328E-05 4537562
   7      -7.50      -7.25  1.554031024118679E-02  5.818192531100362E-05 9131881	   7      -7.50      -7.25  1.554031024118679E-02  5.818192531100362E-05 9131881	   7      -7.50      -7.25  1.338603697449475E-02  5.038917782962889E-05 9131881	   7      -7.50      -7.25  1.338603697449475E-02  5.038917782962889E-05 9131881	   7      -7.50      -7.25  1.832859903982391E-02  6.824621952475431E-05 9131881	   7      -7.50      -7.25  1.832859903982391E-02  6.824621952475431E-05 9131881	   7      -7.50      -7.25  1.554031024118679E-02  5.818192531100362E-05 9131881
   8      -7.25      -7.00  2.815024112048962E-02  7.700334205073635E-05 15142057	   8      -7.25      -7.00  2.815024112048962E-02  7.700334205073635E-05 15142057	   8      -7.25      -7.00  2.440888732698698E-02  6.702586256238243E-05 15142057	   8      -7.25      -7.00  2.440888732698698E-02  6.702586256238243E-05 15142057	   8      -7.25      -7.00  3.295298564148935E-02  8.982255523236536E-05 15142057	   8      -7.25      -7.00  3.295298564148935E-02  8.982255523236536E-05 15142057	   8      -7.25      -7.00  2.815024112048962E-02  7.700334205073635E-05 15142057
   9      -7.00      -6.75  4.514534197141543E-02  9.565098546471086E-05 22669414	   9      -7.00      -6.75  4.514534197141543E-02  9.565098546471086E-05 22669414	   9      -7.00      -6.75  3.940047672422960E-02  8.368410754462858E-05 22669414	   9      -7.00      -6.75  3.940047672422960E-02  8.368410754462858E-05 22669414	   9      -7.00      -6.75  5.245951827003888E-02  1.109352532669574E-04 22669414	   9      -7.00      -6.75  5.245951827003888E-02  1.109352532669574E-04 22669414	   9      -7.00      -6.75  4.514534197141543E-02  9.565098546471086E-05 22669414
  10      -6.75      -6.50  6.599362335695541E-02  1.124157574043471E-04 31740131	  10      -6.75      -6.50  6.599362335695541E-02  1.124157574043471E-04 31740131	  10      -6.75      -6.50  5.798547953170805E-02  9.896978595152467E-05 31740131	  10      -6.75      -6.50  5.798547953170805E-02  9.896978595152467E-05 31740131	  10      -6.75      -6.50  7.609946903540157E-02  1.294507109303729E-04 31740131	  10      -6.75      -6.50  7.609946903540157E-02  1.294507109303729E-04 31740131	  10      -6.75      -6.50  6.599362335695541E-02  1.124157574043471E-04 31740131
