# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0
   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0
   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0
   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      -8.00      -7.75  1.202411708094885E-03  3.209462432503518E-04 2016085	   5      -8.00      -7.75  1.202411708094885E-03  3.209462432503518E-04 2016085	   5      -8.00      -7.75  1.029796744351448E-03  2.713149154191250E-04 2016085	   5      -8.00      -7.75  1.029796744351448E-03  2.713149154191250E-04 2016085	   5      -8.00      -7.75  1.428917975825331E-03  3.860883163247386E-04 2016085	   5      -8.00      -7.75  1.428917975825331E-03  3.860883163247386E-04 2016085	   5      -8.00      -7.75  1.202411708094885E-03  3.209462432503518E-04 2016085
   6      -7.75      -7.50  5.936284663240521E-03  4.343744413280716E-04 7143500	   6      -7.75      -7.50  5.936284663240521E-03  4.343744413280716E-04 7143500	   6      -7.75      -7.50  5.094281118332101E-03  3.747152985248870E-04 7143500	   6      -7.75      -7.50  5.094281118332101E-03  3.747152985248870E-04 7143500	   6      -7.75      -7.50  7.035355861350874E-03  5.106183393989170E-04 7143500	   6      -7.75      -7.50  7.035355861350874E-03  5.106183393989170E-04 7143500	   6      -7.75      -7.50  5.936284663240521E-03  4.343744413280716E-04 7143500
   7      -7.50      -7.25  1.365238659177193E-02  4.487300487197812E-04 14305992	   7      -7.50      -7.25  1.365238659177193E-02  4.487300487197812E-04 14305992	   7      -7.50      -7.25  1.183786431485354E-02  3.703480880934367E-04 14305992	   7      -7.50      -7.25  1.183786431485354E-02  3.703480880934367E-04 14305992	   7      -7.50      -7.25  1.598675592779914E-02  5.566576106664895E-04 14305992	   7      -7.50      -7.25  1.598675592779914E-02  5.566576106664895E-04 14305992	   7      -7.50      -7.25  1.365238659177193E-02  4.487300487197812E-04 14305992
   8      -7.25      -7.00  2.433723974605636E-02  5.573773072860362E-04 23710008	   8      -7.25      -7.00  2.433723974605636E-02  5.573773072860362E-04 23710008	   8      -7.25      -7.00  2.120209550352286E-02  4.750727816251680E-04 23710008	   8      -7.25      -7.00  2.120209550352286E-02  4.750727816251680E-04 23710008	   8      -7.25      -7.00  2.835273051821094E-02  6.651173224808566E-04 23710008	   8      -7.25      -7.00  2.835273051821094E-02  6.651173224808566E-04 23710008	   8      -7.25      -7.00  2.433723974605636E-02  5.573773072860362E-04 23710008
   9      -7.00      -6.75  3.186434968125314E-02  5.141743915652166E-03 35490048	   9      -7.00      -6.75  3.186434968125314E-02  5.141743915652166E-03 35490048	   9      -7.00      -6.75  2.817252852198486E-02  4.332171025473590E-03 35490048	   9      -7.00      -6.75  2.817252852198486E-02  4.332171025473590E-03 35490048	   9      -7.00      -6.75  3.649953851838452E-02  6.205759137118883E-03 35490048	   9      -7.00      -6.75  3.649953851838452E-02  6.205759137118883E-03 35490048	   9      -7.00      -6.75  3.186434968125314E-02  5.141743915652166E-03 35490048
  10      -6.75      -6.50  5.616913672787958E-02  9.656462000946966E-04 49758876	  10      -6.75      -6.50  5.616913672787958E-02  9.656462000946966E-04 49758876	  10      -6.75      -6.50  4.959257877380221E-02  8.361439893111801E-04 49758876	  10      -6.75      -6.50  4.959257877380221E-02  8.361439893111801E-04 49758876	  10      -6.75      -6.50  6.444164545892353E-02  1.132479696489093E-03 49758876	  10      -6.75      -6.50  6.444164545892353E-02  1.132479696489093E-03 49758876	  10      -6.75      -6.50  5.616913672787958E-02  9.656462000946966E-04 49758876
