# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.984638465572155E-03  1.609560844681633E-05 4040767	   1      -5.00      -4.75  2.984638465572155E-03  1.609560844681633E-05 4040767	   1      -5.00      -4.75  2.592319602732075E-03  1.403570077580673E-05 4040767	   1      -5.00      -4.75  2.592319602732075E-03  1.403570077580673E-05 4040767	   1      -5.00      -4.75  3.487083413603927E-03  1.873924909369903E-05 4040767	   1      -5.00      -4.75  3.487083413603927E-03  1.873924909369903E-05 4040767	   1      -5.00      -4.75  2.984638465572155E-03  1.609560844681633E-05 4040767
   2      -4.75      -4.50  4.984677937790622E-03  2.190991479028330E-05 6004196	   2      -4.75      -4.50  4.984677937790622E-03  2.190991479028330E-05 6004196	   2      -4.75      -4.50  4.353268461237665E-03  1.916304381006494E-05 6004196	   2      -4.75      -4.50  4.353268461237665E-03  1.916304381006494E-05 6004196	   2      -4.75      -4.50  5.787970061988782E-03  2.542487912141936E-05 6004196	   2      -4.75      -4.50  5.787970061988782E-03  2.542487912141936E-05 6004196	   2      -4.75      -4.50  4.984677937790622E-03  2.190991479028330E-05 6004196
   3      -4.50      -4.25  8.002667878760712E-03  2.884148635264869E-05 8719950	   3      -4.50      -4.25  8.002667878760712E-03  2.884148635264869E-05 8719950	   3      -4.50      -4.25  7.028313836639603E-03  2.533003813563042E-05 8719950	   3      -4.50      -4.25  7.028313836639603E-03  2.533003813563042E-05 8719950	   3      -4.50      -4.25  9.233484458057642E-03  3.331369794710149E-05 8719950	   3      -4.50      -4.25  9.233484458057642E-03  3.331369794710149E-05 8719950	   3      -4.50      -4.25  8.002667878760712E-03  2.884148635264869E-05 8719950
   4      -4.25      -4.00  1.246947765422888E-02  3.654888181901924E-05 12381047	   4      -4.25      -4.00  1.246947765422888E-02  3.654888181901924E-05 12381047	   4      -4.25      -4.00  1.101032205490025E-02  3.222929259286857E-05 12381047	   4      -4.25      -4.00  1.101032205490025E-02  3.222929259286857E-05 12381047	   4      -4.25      -4.00  1.429980863996488E-02  4.202485211332667E-05 12381047	   4      -4.25      -4.00  1.429980863996488E-02  4.202485211332667E-05 12381047	   4      -4.25      -4.00  1.246947765422888E-02  3.654888181901924E-05 12381047
   5      -4.00      -3.75  1.878644136435167E-02  4.664895629143205E-05 17222198	   5      -4.00      -3.75  1.878644136435167E-02  4.664895629143205E-05 17222198	   5      -4.00      -3.75  1.667677315870659E-02  4.129752103106594E-05 17222198	   5      -4.00      -3.75  1.667677315870659E-02  4.129752103106594E-05 17222198	   5      -4.00      -3.75  2.141437634218534E-02  5.340572409693502E-05 17222198	   5      -4.00      -3.75  2.141437634218534E-02  5.340572409693502E-05 17222198	   5      -4.00      -3.75  1.878644136435167E-02  4.664895629143205E-05 17222198
   6      -3.75      -3.50  2.758425279014899E-02  5.646422214241908E-05 23497312	   6      -3.75      -3.50  2.758425279014899E-02  5.646422214241908E-05 23497312	   6      -3.75      -3.50  2.460922236940696E-02  5.015493034887509E-05 23497312	   6      -3.75      -3.50  2.460922236940696E-02  5.015493034887509E-05 23497312	   6      -3.75      -3.50  3.126503861583430E-02  6.440106544480821E-05 23497312	   6      -3.75      -3.50  3.126503861583430E-02  6.440106544480821E-05 23497312	   6      -3.75      -3.50  2.758425279014899E-02  5.646422214241908E-05 23497312
   7      -3.50      -3.25  3.936942981784834E-02  6.785679767405968E-05 31492679	   7      -3.50      -3.25  3.936942981784834E-02  6.785679767405968E-05 31492679	   7      -3.50      -3.25  3.529120989691965E-02  6.047082562908355E-05 31492679	   7      -3.50      -3.25  3.529120989691965E-02  6.047082562908355E-05 31492679	   7      -3.50      -3.25  4.438131338767781E-02  7.711188286431504E-05 31492679	   7      -3.50      -3.25  4.438131338767781E-02  7.711188286431504E-05 31492679	   7      -3.50      -3.25  3.936942981784834E-02  6.785679767405968E-05 31492679
   8      -3.25      -3.00  5.470294430953346E-02  8.074230816924459E-05 41443697	   8      -3.25      -3.00  5.470294430953346E-02  8.074230816924459E-05 41443697	   8      -3.25      -3.00  4.925906324742629E-02  7.212834903914580E-05 41443697	   8      -3.25      -3.00  4.925906324742629E-02  7.212834903914580E-05 41443697	   8      -3.25      -3.00  6.134900094417198E-02  9.150636175464199E-05 41443697	   8      -3.25      -3.00  6.134900094417198E-02  9.150636175464199E-05 41443697	   8      -3.25      -3.00  5.470294430953346E-02  8.074230816924459E-05 41443697
   9      -3.00      -2.75  7.437470265266352E-02  9.214915895902132E-05 53637482	   9      -3.00      -2.75  7.437470265266352E-02  9.214915895902132E-05 53637482	   9      -3.00      -2.75  6.726587943650505E-02  8.263851531484293E-05 53637482	   9      -3.00      -2.75  6.726587943650505E-02  8.263851531484293E-05 53637482	   9      -3.00      -2.75  8.299645634663469E-02  1.039834174672983E-04 53637482	   9      -3.00      -2.75  8.299645634663469E-02  1.039834174672983E-04 53637482	   9      -3.00      -2.75  7.437470265266352E-02  9.214915895902132E-05 53637482
  10      -2.75      -2.50  9.816555184193344E-02  1.035192535331243E-04 68307280	  10      -2.75      -2.50  9.816555184193344E-02  1.035192535331243E-04 68307280	  10      -2.75      -2.50  8.914929005804667E-02  9.308915474221614E-05 68307280	  10      -2.75      -2.50  8.914929005804667E-02  9.308915474221614E-05 68307280	  10      -2.75      -2.50  1.090291302938361E-01  1.164589343175019E-04 68307280	  10      -2.75      -2.50  1.090291302938361E-01  1.164589343175019E-04 68307280	  10      -2.75      -2.50  9.816555184193344E-02  1.035192535331243E-04 68307280
