# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.369398797463826E-03  1.692478541493576E-04 6167725	   1      -5.00      -4.75  2.369398797463826E-03  1.692478541493576E-04 6167725	   1      -5.00      -4.75  2.073227272889477E-03  1.437666151443009E-04 6167725	   1      -5.00      -4.75  2.073227272889477E-03  1.437666151443009E-04 6167725	   1      -5.00      -4.75  2.745707754142214E-03  2.035880561953957E-04 6167725	   1      -5.00      -4.75  2.745707754142214E-03  2.035880561953957E-04 6167725	   1      -5.00      -4.75  2.369398797463826E-03  1.692478541493576E-04 6167725
   2      -4.75      -4.50  4.116023124101605E-03  1.489279325235726E-04 9172518	   2      -4.75      -4.50  4.116023124101605E-03  1.489279325235726E-04 9172518	   2      -4.75      -4.50  3.621754376719608E-03  1.269556934215240E-04 9172518	   2      -4.75      -4.50  3.621754376719608E-03  1.269556934215240E-04 9172518	   2      -4.75      -4.50  4.740298539452736E-03  1.781269256237689E-04 9172518	   2      -4.75      -4.50  4.740298539452736E-03  1.781269256237689E-04 9172518	   2      -4.75      -4.50  4.116023124101605E-03  1.489279325235726E-04 9172518
   3      -4.50      -4.25  6.771471096984101E-03  2.345915845347608E-04 13314226	   3      -4.50      -4.25  6.771471096984101E-03  2.345915845347608E-04 13314226	   3      -4.50      -4.25  5.982406988683290E-03  2.000430572268627E-04 13314226	   3      -4.50      -4.25  5.982406988683290E-03  2.000430572268627E-04 13314226	   3      -4.50      -4.25  7.761024951930116E-03  2.813766991857277E-04 13314226	   3      -4.50      -4.25  7.761024951930116E-03  2.813766991857277E-04 13314226	   3      -4.50      -4.25  6.771471096984101E-03  2.345915845347608E-04 13314226
   4      -4.25      -4.00  1.114471710101766E-02  2.584074044063424E-04 18917034	   4      -4.25      -4.00  1.114471710101766E-02  2.584074044063424E-04 18917034	   4      -4.25      -4.00  9.880948049050780E-03  2.267552954222685E-04 18917034	   4      -4.25      -4.00  9.880948049050780E-03  2.267552954222685E-04 18917034	   4      -4.25      -4.00  1.272508944983986E-02  2.993732413230503E-04 18917034	   4      -4.25      -4.00  1.272508944983986E-02  2.993732413230503E-04 18917034	   4      -4.25      -4.00  1.114471710101766E-02  2.584074044063424E-04 18917034
   5      -4.00      -3.75  1.564774407238099E-02  5.522113103671355E-04 26313356	   5      -4.00      -3.75  1.564774407238099E-02  5.522113103671355E-04 26313356	   5      -4.00      -3.75  1.395894359538830E-02  4.876959054720004E-04 26313356	   5      -4.00      -3.75  1.395894359538830E-02  4.876959054720004E-04 26313356	   5      -4.00      -3.75  1.774583846350064E-02  6.327980597065989E-04 26313356	   5      -4.00      -3.75  1.774583846350064E-02  6.327980597065989E-04 26313356	   5      -4.00      -3.75  1.564774407238099E-02  5.522113103671355E-04 26313356
   6      -3.75      -3.50  2.266549097042654E-02  9.232346604561826E-04 35919682	   6      -3.75      -3.50  2.266549097042654E-02  9.232346604561826E-04 35919682	   6      -3.75      -3.50  2.030336223190706E-02  8.204437772538805E-04 35919682	   6      -3.75      -3.50  2.030336223190706E-02  8.204437772538805E-04 35919682	   6      -3.75      -3.50  2.558215948467488E-02  1.050183451310719E-03 35919682	   6      -3.75      -3.50  2.558215948467488E-02  1.050183451310719E-03 35919682	   6      -3.75      -3.50  2.266549097042654E-02  9.232346604561826E-04 35919682
   7      -3.50      -3.25  3.344233903396177E-02  6.021954259594982E-04 48132709	   7      -3.50      -3.25  3.344233903396177E-02  6.021954259594982E-04 48132709	   7      -3.50      -3.25  3.014099704532846E-02  5.288450847097352E-04 48132709	   7      -3.50      -3.25  3.014099704532846E-02  5.288450847097352E-04 48132709	   7      -3.50      -3.25  3.748069825986513E-02  6.955726236475522E-04 48132709	   7      -3.50      -3.25  3.748069825986513E-02  6.955726236475522E-04 48132709	   7      -3.50      -3.25  3.344233903396177E-02  6.021954259594982E-04 48132709
   8      -3.25      -3.00  4.537955359650103E-02  7.671327023825033E-04 63409398	   8      -3.25      -3.00  4.537955359650103E-02  7.671327023825033E-04 63409398	   8      -3.25      -3.00  4.107080318951395E-02  6.740628717425726E-04 63409398	   8      -3.25      -3.00  4.107080318951395E-02  6.740628717425726E-04 63409398	   8      -3.25      -3.00  5.061372343677135E-02  8.875510576211783E-04 63409398	   8      -3.25      -3.00  5.061372343677135E-02  8.875510576211783E-04 63409398	   8      -3.25      -3.00  4.537955359650103E-02  7.671327023825033E-04 63409398
   9      -3.00      -2.75  6.163880822454345E-02  1.076732786066079E-03 82126255	   9      -3.00      -2.75  6.163880822454345E-02  1.076732786066079E-03 82126255	   9      -3.00      -2.75  5.601191068592004E-02  9.598838500587841E-04 82126255	   9      -3.00      -2.75  5.601191068592004E-02  9.598838500587841E-04 82126255	   9      -3.00      -2.75  6.843623644720201E-02  1.223093864776496E-03 82126255	   9      -3.00      -2.75  6.843623644720201E-02  1.223093864776496E-03 82126255	   9      -3.00      -2.75  6.163880822454345E-02  1.076732786066079E-03 82126255
  10      -2.75      -2.50  8.057449647070339E-02  1.332334633571027E-03 104738278	  10      -2.75      -2.50  8.057449647070339E-02  1.332334633571027E-03 104738278	  10      -2.75      -2.50  7.359699299319937E-02  1.186256925453597E-03 104738278	  10      -2.75      -2.50  7.359699299319937E-02  1.186256925453597E-03 104738278	  10      -2.75      -2.50  8.893223325604342E-02  1.513871791016993E-03 104738278	  10      -2.75      -2.50  8.893223325604342E-02  1.513871791016993E-03 104738278	  10      -2.75      -2.50  8.057449647070339E-02  1.332334633571027E-03 104738278
  11      -2.50      -2.25  1.027391452482179E-01  4.362260564849017E-03 131234977	  11      -2.50      -2.25  1.027391452482179E-01  4.362260564849017E-03 131234977	  11      -2.50      -2.25  9.412939952256040E-02  3.970944508341062E-03 131234977	  11      -2.50      -2.25  9.412939952256040E-02  3.970944508341062E-03 131234977	  11      -2.50      -2.25  1.130086515100441E-01  4.827136133025550E-03 131234977	  11      -2.50      -2.25  1.130086515100441E-01  4.827136133025550E-03 131234977	  11      -2.50      -2.25  1.027391452482179E-01  4.362260564849017E-03 131234977
  12      -2.25      -2.00  1.319699735096677E-01  1.351489175956838E-03 160416953	  12      -2.25      -2.00  1.319699735096677E-01  1.351489175956838E-03 160416953	  12      -2.25      -2.00  1.213312173911216E-01  1.199301833832640E-03 160416953	  12      -2.25      -2.00  1.213312173911216E-01  1.199301833832640E-03 160416953	  12      -2.25      -2.00  1.445646376098743E-01  1.544201793758463E-03 160416953	  12      -2.25      -2.00  1.445646376098743E-01  1.544201793758463E-03 160416953	  12      -2.25      -2.00  1.319699735096677E-01  1.351489175956838E-03 160416953
  13      -2.00      -1.75  1.630768809651430E-01  2.302023003062112E-03 191207865	  13      -2.00      -1.75  1.630768809651430E-01  2.302023003062112E-03 191207865	  13      -2.00      -1.75  1.503427187747859E-01  2.074071540077877E-03 191207865	  13      -2.00      -1.75  1.503427187747859E-01  2.074071540077877E-03 191207865	  13      -2.00      -1.75  1.780750273531616E-01  2.581038573036072E-03 191207865	  13      -2.00      -1.75  1.780750273531616E-01  2.581038573036072E-03 191207865	  13      -2.00      -1.75  1.630768809651430E-01  2.302023003062112E-03 191207865
  14      -1.75      -1.50  1.983504078342603E-01  1.276764146928453E-03 222566804	  14      -1.75      -1.50  1.983504078342603E-01  1.276764146928453E-03 222566804	  14      -1.75      -1.50  1.832308721095030E-01  1.143806001824874E-03 222566804	  14      -1.75      -1.50  1.832308721095030E-01  1.143806001824874E-03 222566804	  14      -1.75      -1.50  2.160883556753341E-01  1.443252712918349E-03 222566804	  14      -1.75      -1.50  2.160883556753341E-01  1.443252712918349E-03 222566804	  14      -1.75      -1.50  1.983504078342603E-01  1.276764146928453E-03 222566804
