# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  1.358904997978071E-06  1.649309000327005E-08 275733	   3     120.00     180.00  1.358904997978071E-06  1.649309000327005E-08 275733	   3     120.00     180.00  1.309169776459704E-06  1.564022539381171E-08 275733	   3     120.00     180.00  1.309169776459704E-06  1.564022539381171E-08 275733	   3     120.00     180.00  1.408557076129858E-06  1.743948165090504E-08 275733	   3     120.00     180.00  1.408557076129858E-06  1.743948165090504E-08 275733	   3     120.00     180.00  1.358904997978071E-06  1.649309000327005E-08 275733
   4     180.00     240.00  1.437844701878177E-04  2.040231384428522E-07 22051990	   4     180.00     240.00  1.437844701878177E-04  2.040231384428522E-07 22051990	   4     180.00     240.00  1.377825244347820E-04  1.908524025942244E-07 22051990	   4     180.00     240.00  1.377825244347820E-04  1.908524025942244E-07 22051990	   4     180.00     240.00  1.499689188462383E-04  2.192361879357911E-07 22051990	   4     180.00     240.00  1.499689188462383E-04  2.192361879357911E-07 22051990	   4     180.00     240.00  1.437844701878177E-04  2.040231384428522E-07 22051990
   5     240.00     300.00  9.345825458201895E-04  5.739316416823693E-07 103239004	   5     240.00     300.00  9.345825458201895E-04  5.739316416823693E-07 103239004	   5     240.00     300.00  8.894841053433141E-04  5.318339496158615E-07 103239004	   5     240.00     300.00  8.894841053433141E-04  5.318339496158615E-07 103239004	   5     240.00     300.00  9.825964466987399E-04  6.236727919948738E-07 103239004	   5     240.00     300.00  9.825964466987399E-04  6.236727919948738E-07 103239004	   5     240.00     300.00  9.345825458201895E-04  5.739316416823693E-07 103239004
   6     300.00     360.00  2.085137653935152E-03  9.219718115711177E-07 194113856	   6     300.00     360.00  2.085137653935152E-03  9.219718115711177E-07 194113856	   6     300.00     360.00  1.969611743708033E-03  8.467062808802325E-07 194113856	   6     300.00     360.00  1.969611743708033E-03  8.467062808802325E-07 194113856	   6     300.00     360.00  2.211781436212818E-03  1.012622233026069E-06 194113856	   6     300.00     360.00  2.211781436212818E-03  1.012622233026069E-06 194113856	   6     300.00     360.00  2.085137653935152E-03  9.219718115711177E-07 194113856
   7     360.00     420.00  2.857589388447225E-03  1.098684822886722E-06 255546241	   7     360.00     420.00  2.857589388447225E-03  1.098684822886722E-06 255546241	   7     360.00     420.00  2.681008674883905E-03  1.003467844242561E-06 255546241	   7     360.00     420.00  2.681008674883905E-03  1.003467844242561E-06 255546241	   7     360.00     420.00  3.055466546412186E-03  1.214435137080292E-06 255546241	   7     360.00     420.00  3.055466546412186E-03  1.214435137080292E-06 255546241	   7     360.00     420.00  2.857589388447225E-03  1.098684822886722E-06 255546241
   8     420.00     480.00  3.068847152005292E-03  1.135001583168052E-06 277454530	   8     420.00     480.00  3.068847152005292E-03  1.135001583168052E-06 277454530	   8     420.00     480.00  2.861507837614685E-03  1.032405013330677E-06 277454530	   8     420.00     480.00  2.861507837614685E-03  1.032405013330677E-06 277454530	   8     420.00     480.00  3.305162860322986E-03  1.260534322765593E-06 277454530	   8     420.00     480.00  3.305162860322986E-03  1.260534322765593E-06 277454530	   8     420.00     480.00  3.068847152005292E-03  1.135001583168052E-06 277454530
   9     480.00     540.00  2.889151264884238E-03  1.089327577528249E-06 271480562	   9     480.00     540.00  2.889151264884238E-03  1.089327577528249E-06 271480562	   9     480.00     540.00  2.678008582020913E-03  9.874051782610217E-07 271480562	   9     480.00     540.00  2.678008582020913E-03  9.874051782610217E-07 271480562	   9     480.00     540.00  3.133180425716564E-03  1.214661175194076E-06 271480562	   9     480.00     540.00  3.133180425716564E-03  1.214661175194076E-06 271480562	   9     480.00     540.00  2.889151264884238E-03  1.089327577528249E-06 271480562
  10     540.00     600.00  2.524858487302717E-03  1.004831939907747E-06 253042028	  10     540.00     600.00  2.524858487302717E-03  1.004831939907747E-06 253042028	  10     540.00     600.00  2.327372564806475E-03  9.079285141975712E-07 253042028	  10     540.00     600.00  2.327372564806475E-03  9.079285141975712E-07 253042028	  10     540.00     600.00  2.755749103761926E-03  1.124447376442374E-06 253042028	  10     540.00     600.00  2.755749103761926E-03  1.124447376442374E-06 253042028	  10     540.00     600.00  2.524858487302717E-03  1.004831939907747E-06 253042028
