# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  1.172375066800346E-06  4.857167182412187E-08 444974	   3     120.00     180.00  1.172375066800346E-06  4.857167182412187E-08 444974	   3     120.00     180.00  1.131458267864985E-06  4.567706571042470E-08 444974	   3     120.00     180.00  1.131458267864985E-06  4.567706571042470E-08 444974	   3     120.00     180.00  1.213224387051376E-06  5.180502209855678E-08 444974	   3     120.00     180.00  1.213224387051376E-06  5.180502209855678E-08 444974	   3     120.00     180.00  1.172375066800346E-06  4.857167182412187E-08 444974
   4     180.00     240.00  1.274444176510248E-04  1.050694486113602E-06 33954486	   4     180.00     240.00  1.274444176510248E-04  1.050694486113602E-06 33954486	   4     180.00     240.00  1.223628566305117E-04  9.852671092125359E-07 33954486	   4     180.00     240.00  1.223628566305117E-04  9.852671092125359E-07 33954486	   4     180.00     240.00  1.326700313800426E-04  1.125048356461519E-06 33954486	   4     180.00     240.00  1.326700313800426E-04  1.125048356461519E-06 33954486	   4     180.00     240.00  1.274444176510248E-04  1.050694486113602E-06 33954486
   5     240.00     300.00  8.299847139690222E-04  4.481071834690150E-06 156972398	   5     240.00     300.00  8.299847139690222E-04  4.481071834690150E-06 156972398	   5     240.00     300.00  7.919738259855184E-04  4.062272702402587E-06 156972398	   5     240.00     300.00  7.919738259855184E-04  4.062272702402587E-06 156972398	   5     240.00     300.00  8.702655049525117E-04  4.999286183179105E-06 156972398	   5     240.00     300.00  8.702655049525117E-04  4.999286183179105E-06 156972398	   5     240.00     300.00  8.299847139690222E-04  4.481071834690150E-06 156972398
   6     300.00     360.00  1.860570409208135E-03  6.424564892414310E-06 295273273	   6     300.00     360.00  1.860570409208135E-03  6.424564892414310E-06 295273273	   6     300.00     360.00  1.761763585439793E-03  5.874938668911761E-06 295273273	   6     300.00     360.00  1.761763585439793E-03  5.874938668911761E-06 295273273	   6     300.00     360.00  1.968682144776152E-03  7.085858548444382E-06 295273273	   6     300.00     360.00  1.968682144776152E-03  7.085858548444382E-06 295273273	   6     300.00     360.00  1.860570409208135E-03  6.424564892414310E-06 295273273
   7     360.00     420.00  2.522623719378341E-03  2.233541182687757E-05 390574954	   7     360.00     420.00  2.522623719378341E-03  2.233541182687757E-05 390574954	   7     360.00     420.00  2.374418256219536E-03  1.899054659353470E-05 390574954	   7     360.00     420.00  2.374418256219536E-03  1.899054659353470E-05 390574954	   7     360.00     420.00  2.687959283569186E-03  2.672741766959101E-05 390574954	   7     360.00     420.00  2.687959283569186E-03  2.672741766959101E-05 390574954	   7     360.00     420.00  2.522623719378341E-03  2.233541182687757E-05 390574954
   8     420.00     480.00  2.696273527511049E-03  1.107791134218971E-05 426817274	   8     420.00     480.00  2.696273527511049E-03  1.107791134218971E-05 426817274	   8     420.00     480.00  2.521978813441340E-03  9.902096812642665E-06 426817274	   8     420.00     480.00  2.521978813441340E-03  9.902096812642665E-06 426817274	   8     420.00     480.00  2.894362898441659E-03  1.255672824127294E-05 426817274	   8     420.00     480.00  2.894362898441659E-03  1.255672824127294E-05 426817274	   8     420.00     480.00  2.696273527511049E-03  1.107791134218971E-05 426817274
   9     480.00     540.00  2.495425304125029E-03  1.209700624547596E-05 420603653	   9     480.00     540.00  2.495425304125029E-03  1.209700624547596E-05 420603653	   9     480.00     540.00  2.321239213849451E-03  1.081863500330158E-05 420603653	   9     480.00     540.00  2.321239213849451E-03  1.081863500330158E-05 420603653	   9     480.00     540.00  2.696107494979070E-03  1.369262930336406E-05 420603653	   9     480.00     540.00  2.696107494979070E-03  1.369262930336406E-05 420603653	   9     480.00     540.00  2.495425304125029E-03  1.209700624547596E-05 420603653
  10     540.00     600.00  2.150204891910825E-03  1.453387773864116E-05 394844696	  10     540.00     600.00  2.150204891910825E-03  1.453387773864116E-05 394844696	  10     540.00     600.00  1.988765928000493E-03  1.308120251329432E-05 394844696	  10     540.00     600.00  1.988765928000493E-03  1.308120251329432E-05 394844696	  10     540.00     600.00  2.338567795699059E-03  1.631279903979341E-05 394844696	  10     540.00     600.00  2.338567795699059E-03  1.631279903979341E-05 394844696	  10     540.00     600.00  2.150204891910825E-03  1.453387773864116E-05 394844696
