# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  2.020039152537801E-03  1.072034137560339E-06 171918232	   1       0.00      40.00  2.020039152537801E-03  1.072034137560339E-06 171918232	   1       0.00      40.00  1.886729641796996E-03  9.760625563525472E-07 171918232	   1       0.00      40.00  1.886729641796996E-03  9.760625563525472E-07 171918232	   1       0.00      40.00  2.171961746436355E-03  1.189672102186881E-06 171918232	   1       0.00      40.00  2.171961746436355E-03  1.189672102186881E-06 171918232	   1       0.00      40.00  2.020039152537801E-03  1.072034137560339E-06 171918232
   2      40.00      80.00  7.953512252012750E-03  2.106299538227961E-06 622115502	   2      40.00      80.00  7.953512252012750E-03  2.106299538227961E-06 622115502	   2      40.00      80.00  7.410667525861157E-03  1.918337640889276E-06 622115502	   2      40.00      80.00  7.410667525861157E-03  1.918337640889276E-06 622115502	   2      40.00      80.00  8.575721042692152E-03  2.336449134584198E-06 622115502	   2      40.00      80.00  8.575721042692152E-03  2.336449134584198E-06 622115502	   2      40.00      80.00  7.953512252012750E-03  2.106299538227961E-06 622115502
   3      80.00     120.00  8.520871847093547E-03  2.120924118190562E-06 607512724	   3      80.00     120.00  8.520871847093547E-03  2.120924118190562E-06 607512724	   3      80.00     120.00  7.902078861165304E-03  1.927623014703075E-06 607512724	   3      80.00     120.00  7.902078861165304E-03  1.927623014703075E-06 607512724	   3      80.00     120.00  9.237392646300349E-03  2.358242579202498E-06 607512724	   3      80.00     120.00  9.237392646300349E-03  2.358242579202498E-06 607512724	   3      80.00     120.00  8.520871847093547E-03  2.120924118190562E-06 607512724
   4     120.00     160.00  6.225008819864516E-03  1.796678132063034E-06 464945274	   4     120.00     160.00  6.225008819864516E-03  1.796678132063034E-06 464945274	   4     120.00     160.00  5.738057869711832E-03  1.629890301003234E-06 464945274	   4     120.00     160.00  5.738057869711832E-03  1.629890301003234E-06 464945274	   4     120.00     160.00  6.795645822560310E-03  2.001550665780706E-06 464945274	   4     120.00     160.00  6.795645822560310E-03  2.001550665780706E-06 464945274	   4     120.00     160.00  6.225008819864516E-03  1.796678132063034E-06 464945274
   5     160.00     200.00  4.183671324960884E-03  1.488081884259826E-06 350114691	   5     160.00     200.00  4.183671324960884E-03  1.488081884259826E-06 350114691	   5     160.00     200.00  3.833711420582856E-03  1.346054244889463E-06 350114691	   5     160.00     200.00  3.833711420582856E-03  1.346054244889463E-06 350114691	   5     160.00     200.00  4.598180177910423E-03  1.663027202928502E-06 350114691	   5     160.00     200.00  4.598180177910423E-03  1.663027202928502E-06 350114691	   5     160.00     200.00  4.183671324960884E-03  1.488081884259826E-06 350114691
   6     200.00     240.00  2.800168930983792E-03  1.240773325696500E-06 267356645	   6     200.00     240.00  2.800168930983792E-03  1.240773325696500E-06 267356645	   6     200.00     240.00  2.552000194572986E-03  1.118685334497716E-06 267356645	   6     200.00     240.00  2.552000194572986E-03  1.118685334497716E-06 267356645	   6     200.00     240.00  3.096836506399998E-03  1.391679518973334E-06 267356645	   6     200.00     240.00  3.096836506399998E-03  1.391679518973334E-06 267356645	   6     200.00     240.00  2.800168930983792E-03  1.240773325696500E-06 267356645
   7     240.00     280.00  1.904021815169347E-03  1.038259973692454E-06 208195164	   7     240.00     280.00  1.904021815169347E-03  1.038259973692454E-06 208195164	   7     240.00     280.00  1.726652678971977E-03  9.333359051224753E-07 208195164	   7     240.00     280.00  1.726652678971977E-03  9.333359051224753E-07 208195164	   7     240.00     280.00  2.117748594712044E-03  1.168328798819802E-06 208195164	   7     240.00     280.00  2.117748594712044E-03  1.168328798819802E-06 208195164	   7     240.00     280.00  1.904021815169347E-03  1.038259973692454E-06 208195164
   8     280.00     320.00  1.319767682195524E-03  8.726657948864716E-07 165155252	   8     280.00     320.00  1.319767682195524E-03  8.726657948864716E-07 165155252	   8     280.00     320.00  1.191315013842478E-03  7.818022844958852E-07 165155252	   8     280.00     320.00  1.191315013842478E-03  7.818022844958852E-07 165155252	   8     280.00     320.00  1.475653375538948E-03  9.857924827129569E-07 165155252	   8     280.00     320.00  1.475653375538948E-03  9.857924827129569E-07 165155252	   8     280.00     320.00  1.319767682195524E-03  8.726657948864716E-07 165155252
   9     320.00     360.00  9.326265882301219E-04  7.431937546231547E-07 133217599	   9     320.00     360.00  9.326265882301219E-04  7.431937546231547E-07 133217599	   9     320.00     360.00  8.382696632616584E-04  6.639480065431123E-07 133217599	   9     320.00     360.00  8.382696632616584E-04  6.639480065431123E-07 133217599	   9     320.00     360.00  1.047857132150638E-03  8.420769301757563E-07 133217599	   9     320.00     360.00  1.047857132150638E-03  8.420769301757563E-07 133217599	   9     320.00     360.00  9.326265882301219E-04  7.431937546231547E-07 133217599
  10     360.00     400.00  6.703399927602771E-04  6.290896753488296E-07 108984541	  10     360.00     400.00  6.703399927602771E-04  6.290896753488296E-07 108984541	  10     360.00     400.00  6.001225930122347E-04  5.603206085109725E-07 108984541	  10     360.00     400.00  6.001225930122347E-04  5.603206085109725E-07 108984541	  10     360.00     400.00  7.565829950893813E-04  7.151795528174352E-07 108984541	  10     360.00     400.00  7.565829950893813E-04  7.151795528174352E-07 108984541	  10     360.00     400.00  6.703399927602771E-04  6.290896753488296E-07 108984541
