# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  1.759649737533044E-03  1.039252815152341E-05 262789922	   1       0.00      40.00  1.759649737533044E-03  1.039252815152341E-05 262789922	   1       0.00      40.00  1.649404305459202E-03  9.405296422988415E-06 262789922	   1       0.00      40.00  1.649404305459202E-03  9.405296422988415E-06 262789922	   1       0.00      40.00  1.884826178668181E-03  1.160449080548486E-05 262789922	   1       0.00      40.00  1.884826178668181E-03  1.160449080548486E-05 262789922	   1       0.00      40.00  1.759649737533044E-03  1.039252815152341E-05 262789922
   2      40.00      80.00  6.841482705871295E-03  4.443931654820095E-05 935046611	   2      40.00      80.00  6.841482705871295E-03  4.443931654820095E-05 935046611	   2      40.00      80.00  6.402647672968729E-03  3.835525800066262E-05 935046611	   2      40.00      80.00  6.402647672968729E-03  3.835525800066262E-05 935046611	   2      40.00      80.00  7.341117697135398E-03  5.236673972534830E-05 935046611	   2      40.00      80.00  7.341117697135398E-03  5.236673972534830E-05 935046611	   2      40.00      80.00  6.841482705871295E-03  4.443931654820095E-05 935046611
   3      80.00     120.00  7.260248998978955E-03  2.751654455755474E-05 921494573	   3      80.00     120.00  7.260248998978955E-03  2.751654455755474E-05 921494573	   3      80.00     120.00  6.763141738643316E-03  2.458395605872320E-05 921494573	   3      80.00     120.00  6.763141738643316E-03  2.458395605872320E-05 921494573	   3      80.00     120.00  7.832530927599973E-03  3.118118604029086E-05 921494573	   3      80.00     120.00  7.832530927599973E-03  3.118118604029086E-05 921494573	   3      80.00     120.00  7.260248998978955E-03  2.751654455755474E-05 921494573
   4     120.00     160.00  5.265712640008242E-03  1.962407208488524E-05 715062705	   4     120.00     160.00  5.265712640008242E-03  1.962407208488524E-05 715062705	   4     120.00     160.00  4.875718045051943E-03  1.745627523766337E-05 715062705	   4     120.00     160.00  4.875718045051943E-03  1.745627523766337E-05 715062705	   4     120.00     160.00  5.720395749420171E-03  2.235591342384739E-05 715062705	   4     120.00     160.00  5.720395749420171E-03  2.235591342384739E-05 715062705	   4     120.00     160.00  5.265712640008242E-03  1.962407208488524E-05 715062705
   5     160.00     200.00  3.462751534585386E-03  1.894047322613634E-05 544790132	   5     160.00     200.00  3.462751534585386E-03  1.894047322613634E-05 544790132	   5     160.00     200.00  3.188472901001484E-03  1.684039467170028E-05 544790132	   5     160.00     200.00  3.188472901001484E-03  1.684039467170028E-05 544790132	   5     160.00     200.00  3.785915828144389E-03  2.157636201383250E-05 544790132	   5     160.00     200.00  3.785915828144389E-03  2.157636201383250E-05 544790132	   5     160.00     200.00  3.462751534585386E-03  1.894047322613634E-05 544790132
   6     200.00     240.00  2.308448426408988E-03  1.257395503848217E-05 420110035	   6     200.00     240.00  2.308448426408988E-03  1.257395503848217E-05 420110035	   6     200.00     240.00  2.113151266140201E-03  1.119224007708551E-05 420110035	   6     200.00     240.00  2.113151266140201E-03  1.119224007708551E-05 420110035	   6     200.00     240.00  2.541097828282447E-03  1.430419701493066E-05 420110035	   6     200.00     240.00  2.541097828282447E-03  1.430419701493066E-05 420110035	   6     200.00     240.00  2.308448426408988E-03  1.257395503848217E-05 420110035
   7     240.00     280.00  1.507952886738982E-03  2.920694309755338E-05 329698957	   7     240.00     280.00  1.507952886738982E-03  2.920694309755338E-05 329698957	   7     240.00     280.00  1.373495566213941E-03  2.644980733912896E-05 329698957	   7     240.00     280.00  1.373495566213941E-03  2.644980733912896E-05 329698957	   7     240.00     280.00  1.669465522976680E-03  3.253893374751069E-05 329698957	   7     240.00     280.00  1.669465522976680E-03  3.253893374751069E-05 329698957	   7     240.00     280.00  1.507952886738982E-03  2.920694309755338E-05 329698957
   8     280.00     320.00  1.033998914445034E-03  1.263565872862449E-05 263248353	   8     280.00     320.00  1.033998914445034E-03  1.263565872862449E-05 263248353	   8     280.00     320.00  9.387663876276330E-04  1.106983528805472E-05 263248353	   8     280.00     320.00  9.387663876276330E-04  1.106983528805472E-05 263248353	   8     280.00     320.00  1.148932154477940E-03  1.462969929416453E-05 263248353	   8     280.00     320.00  1.148932154477940E-03  1.462969929416453E-05 263248353	   8     280.00     320.00  1.033998914445034E-03  1.263565872862449E-05 263248353
   9     320.00     360.00  7.088330655252245E-04  9.828695762493314E-06 213431233	   9     320.00     360.00  7.088330655252245E-04  9.828695762493314E-06 213431233	   9     320.00     360.00  6.406595449893372E-04  8.695347376362935E-06 213431233	   9     320.00     360.00  6.406595449893372E-04  8.695347376362935E-06 213431233	   9     320.00     360.00  7.917403316968337E-04  1.124677700779714E-05 213431233	   9     320.00     360.00  7.917403316968337E-04  1.124677700779714E-05 213431233	   9     320.00     360.00  7.088330655252245E-04  9.828695762493314E-06 213431233
  10     360.00     400.00  5.236805907025456E-04  7.610787576442220E-06 175414850	  10     360.00     400.00  5.236805907025456E-04  7.610787576442220E-06 175414850	  10     360.00     400.00  4.711068160999635E-04  6.705134678251746E-06 175414850	  10     360.00     400.00  4.711068160999635E-04  6.705134678251746E-06 175414850	  10     360.00     400.00  5.880171246132312E-04  8.756052241927004E-06 175414850	  10     360.00     400.00  5.880171246132312E-04  8.756052241927004E-06 175414850	  10     360.00     400.00  5.236805907025456E-04  7.610787576442220E-06 175414850
