# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  2.316930262520666E-02  5.302274574710370E-06 914259503	   2      20.00      40.00  2.316930262520666E-02  5.302274574710370E-06 914259503	   2      20.00      40.00  2.144728667521931E-02  4.813162151131695E-06 914259503	   2      20.00      40.00  2.144728667521931E-02  4.813162151131695E-06 914259503	   2      20.00      40.00  2.517474379500280E-02  5.903588315345903E-06 914259503	   2      20.00      40.00  2.517474379500280E-02  5.903588315345903E-06 914259503	   2      20.00      40.00  2.316930262520666E-02  5.302274574710370E-06 914259503
   3      40.00      60.00  1.723480688751022E-02  4.372746749636600E-06 696067257	   3      40.00      60.00  1.723480688751022E-02  4.372746749636600E-06 696067257	   3      40.00      60.00  1.593438692218473E-02  3.964289083744340E-06 696067257	   3      40.00      60.00  1.593438692218473E-02  3.964289083744340E-06 696067257	   3      40.00      60.00  1.875271000321795E-02  4.875778456098994E-06 696067257	   3      40.00      60.00  1.875271000321795E-02  4.875778456098994E-06 696067257	   3      40.00      60.00  1.723480688751022E-02  4.372746749636600E-06 696067257
   4      60.00      80.00  1.126003962179763E-02  3.511190419443310E-06 451842466	   4      60.00      80.00  1.126003962179763E-02  3.511190419443310E-06 451842466	   4      60.00      80.00  1.037940640278212E-02  3.179103789517063E-06 451842466	   4      60.00      80.00  1.037940640278212E-02  3.179103789517063E-06 451842466	   4      60.00      80.00  1.229359611937725E-02  3.920655783488167E-06 451842466	   4      60.00      80.00  1.229359611937725E-02  3.920655783488167E-06 451842466	   4      60.00      80.00  1.126003962179763E-02  3.511190419443310E-06 451842466
   5      80.00     100.00  7.368212437652277E-03  2.804128860315937E-06 318312089	   5      80.00     100.00  7.368212437652277E-03  2.804128860315937E-06 318312089	   5      80.00     100.00  6.768960620510032E-03  2.535605171985594E-06 318312089	   5      80.00     100.00  6.768960620510032E-03  2.535605171985594E-06 318312089	   5      80.00     100.00  8.075771451661351E-03  3.135657738415619E-06 318312089	   5      80.00     100.00  8.075771451661351E-03  3.135657738415619E-06 318312089	   5      80.00     100.00  7.368212437652277E-03  2.804128860315937E-06 318312089
   6     100.00     120.00  4.950345866574410E-03  2.269560534914187E-06 235701533	   6     100.00     120.00  4.950345866574410E-03  2.269560534914187E-06 235701533	   6     100.00     120.00  4.532420796710901E-03  2.048435163460957E-06 235701533	   6     100.00     120.00  4.532420796710901E-03  2.048435163460957E-06 235701533	   6     100.00     120.00  5.446634906502955E-03  2.543039067890757E-06 235701533	   6     100.00     120.00  5.446634906502955E-03  2.543039067890757E-06 235701533	   6     100.00     120.00  4.950345866574410E-03  2.269560534914187E-06 235701533
   7     120.00     140.00  3.419943307841955E-03  1.860635577943305E-06 180710677	   7     120.00     140.00  3.419943307841955E-03  1.860635577943305E-06 180710677	   7     120.00     140.00  3.120859602955777E-03  1.675825631075777E-06 180710677	   7     120.00     140.00  3.120859602955777E-03  1.675825631075777E-06 180710677	   7     120.00     140.00  3.777042137257550E-03  2.089643836075841E-06 180710677	   7     120.00     140.00  3.777042137257550E-03  2.089643836075841E-06 180710677	   7     120.00     140.00  3.419943307841955E-03  1.860635577943305E-06 180710677
   8     140.00     160.00  2.417251484542290E-03  1.520872726115475E-06 142208958	   8     140.00     160.00  2.417251484542290E-03  1.520872726115475E-06 142208958	   8     140.00     160.00  2.198916149523947E-03  1.367320724343228E-06 142208958	   8     140.00     160.00  2.198916149523947E-03  1.367320724343228E-06 142208958	   8     140.00     160.00  2.679241306754843E-03  1.711520270155917E-06 142208958	   8     140.00     160.00  2.679241306754843E-03  1.711520270155917E-06 142208958	   8     140.00     160.00  2.417251484542290E-03  1.520872726115475E-06 142208958
   9     160.00     180.00  1.747885451339486E-03  1.248922649577878E-06 114221301	   9     160.00     180.00  1.747885451339486E-03  1.248922649577878E-06 114221301	   9     160.00     180.00  1.585261866451452E-03  1.120586106373155E-06 114221301	   9     160.00     180.00  1.585261866451452E-03  1.120586106373155E-06 114221301	   9     160.00     180.00  1.943920550273720E-03  1.408632168528200E-06 114221301	   9     160.00     180.00  1.943920550273720E-03  1.408632168528200E-06 114221301	   9     160.00     180.00  1.747885451339486E-03  1.248922649577878E-06 114221301
  10     180.00     200.00  1.284565552808556E-03  1.052269559469827E-06 93308233	  10     180.00     200.00  1.284565552808556E-03  1.052269559469827E-06 93308233	  10     180.00     200.00  1.161609349366190E-03  9.418153418387439E-07 93308233	  10     180.00     200.00  1.161609349366190E-03  9.418153418387439E-07 93308233	  10     180.00     200.00  1.433442837900751E-03  1.189966263375994E-06 93308233	  10     180.00     200.00  1.433442837900751E-03  1.189966263375994E-06 93308233	  10     180.00     200.00  1.284565552808556E-03  1.052269559469827E-06 93308233
  11     200.00     220.00  9.599023616949989E-04  8.812817513840247E-07 77297874	  11     200.00     220.00  9.599023616949989E-04  8.812817513840247E-07 77297874	  11     200.00     220.00  8.655380642146164E-04  7.865397549314330E-07 77297874	  11     200.00     220.00  8.655380642146164E-04  7.865397549314330E-07 77297874	  11     200.00     220.00  1.074645354102752E-03  9.999344223830229E-07 77297874	  11     200.00     220.00  1.074645354102752E-03  9.999344223830229E-07 77297874	  11     200.00     220.00  9.599023616949989E-04  8.812817513840247E-07 77297874
  12     220.00     240.00  7.269321212251754E-04  7.310102420497828E-07 64841964	  12     220.00     240.00  7.269321212251754E-04  7.310102420497828E-07 64841964	  12     220.00     240.00  6.536961501987344E-04  6.517183772596839E-07 64841964	  12     220.00     240.00  6.536961501987344E-04  6.517183772596839E-07 64841964	  12     220.00     240.00  8.163293200371030E-04  8.303572777710154E-07 64841964	  12     220.00     240.00  8.163293200371030E-04  8.303572777710154E-07 64841964	  12     220.00     240.00  7.269321212251754E-04  7.310102420497828E-07 64841964
  13     240.00     260.00  5.559150564123597E-04  6.160062794015249E-07 54951204	  13     240.00     260.00  5.559150564123597E-04  6.160062794015249E-07 54951204	  13     240.00     260.00  4.985701550578333E-04  5.482762751626536E-07 54951204	  13     240.00     260.00  4.985701550578333E-04  5.482762751626536E-07 54951204	  13     240.00     260.00  6.261814426248702E-04  7.009599776022056E-07 54951204	  13     240.00     260.00  6.261814426248702E-04  7.009599776022056E-07 54951204	  13     240.00     260.00  5.559150564123597E-04  6.160062794015249E-07 54951204
  14     260.00     280.00  4.308128923745708E-04  5.288540287643395E-07 46999298	  14     260.00     280.00  4.308128923745708E-04  5.288540287643395E-07 46999298	  14     260.00     280.00  3.853417010534607E-04  4.692333021517403E-07 46999298	  14     260.00     280.00  3.853417010534607E-04  4.692333021517403E-07 46999298	  14     260.00     280.00  4.867381101656628E-04  6.039451115204202E-07 46999298	  14     260.00     280.00  4.867381101656628E-04  6.039451115204202E-07 46999298	  14     260.00     280.00  4.308128923745708E-04  5.288540287643395E-07 46999298
  15     280.00     300.00  3.352600943070032E-04  4.498092851810792E-07 40537549	  15     280.00     300.00  3.352600943070032E-04  4.498092851810792E-07 40537549	  15     280.00     300.00  2.991479794644571E-04  3.987307875955881E-07 40537549	  15     280.00     300.00  2.991479794644571E-04  3.987307875955881E-07 40537549	  15     280.00     300.00  3.798210875694367E-04  5.141880609842702E-07 40537549	  15     280.00     300.00  3.798210875694367E-04  5.141880609842702E-07 40537549	  15     280.00     300.00  3.352600943070032E-04  4.498092851810792E-07 40537549
  16     300.00     320.00  2.642138869708828E-04  3.855251857187001E-07 35234356	  16     300.00     320.00  2.642138869708828E-04  3.855251857187001E-07 35234356	  16     300.00     320.00  2.351569874384516E-04  3.408243664316637E-07 35234356	  16     300.00     320.00  2.351569874384516E-04  3.408243664316637E-07 35234356	  16     300.00     320.00  3.001934727505929E-04  4.420619673663954E-07 35234356	  16     300.00     320.00  3.001934727505929E-04  4.420619673663954E-07 35234356	  16     300.00     320.00  2.642138869708828E-04  3.855251857187001E-07 35234356
