# title = Transverse Momentum anti--Muon-Positron
# xlabel = $p_{\text{T},\mu^+\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.960396650147313E-03  2.462080761407998E-05 160236082	   1       0.00      20.00  2.960396650147313E-03  2.462080761407998E-05 160236082	   1       0.00      20.00  2.757613087863034E-03  2.214272415652536E-05 160236082	   1       0.00      20.00  2.757613087863034E-03  2.214272415652536E-05 160236082	   1       0.00      20.00  3.194041748617078E-03  2.775493706922944E-05 160236082	   1       0.00      20.00  3.194041748617078E-03  2.775493706922944E-05 160236082	   1       0.00      20.00  2.960396650147313E-03  2.462080761407998E-05 160236082
   2      20.00      40.00  7.115581469719856E-03  7.711869807291953E-05 396547039	   2      20.00      40.00  7.115581469719856E-03  7.711869807291953E-05 396547039	   2      20.00      40.00  6.636585131815660E-03  6.609155933381853E-05 396547039	   2      20.00      40.00  6.636585131815660E-03  6.609155933381853E-05 396547039	   2      20.00      40.00  7.665613695849120E-03  9.152476811434471E-05 396547039	   2      20.00      40.00  7.665613695849120E-03  9.152476811434471E-05 396547039	   2      20.00      40.00  7.115581469719856E-03  7.711869807291953E-05 396547039
   3      40.00      60.00  1.025538400786303E-02  6.065662673695164E-05 602155589	   3      40.00      60.00  1.025538400786303E-02  6.065662673695164E-05 602155589	   3      40.00      60.00  9.549976383762000E-03  5.462395427455227E-05 602155589	   3      40.00      60.00  9.549976383762000E-03  5.462395427455227E-05 602155589	   3      40.00      60.00  1.106915271112471E-02  6.807669224623413E-05 602155589	   3      40.00      60.00  1.106915271112471E-02  6.807669224623413E-05 602155589	   3      40.00      60.00  1.025538400786303E-02  6.065662673695164E-05 602155589
   4      60.00      80.00  1.065123477341366E-02  4.265376408887520E-05 659883617	   4      60.00      80.00  1.065123477341366E-02  4.265376408887520E-05 659883617	   4      60.00      80.00  9.906952401530259E-03  3.819825252158864E-05 659883617	   4      60.00      80.00  9.906952401530259E-03  3.819825252158864E-05 659883617	   4      60.00      80.00  1.151218581135211E-02  4.822424369702503E-05 659883617	   4      60.00      80.00  1.151218581135211E-02  4.822424369702503E-05 659883617	   4      60.00      80.00  1.065123477341366E-02  4.265376408887520E-05 659883617
   5      80.00     100.00  8.882277724189749E-03  4.408533045641447E-05 564881006	   5      80.00     100.00  8.882277724189749E-03  4.408533045641447E-05 564881006	   5      80.00     100.00  8.239305649081865E-03  3.954049768990162E-05 564881006	   5      80.00     100.00  8.239305649081865E-03  3.954049768990162E-05 564881006	   5      80.00     100.00  9.630269562381794E-03  4.970535500378287E-05 564881006	   5      80.00     100.00  9.630269562381794E-03  4.970535500378287E-05 564881006	   5      80.00     100.00  8.882277724189749E-03  4.408533045641447E-05 564881006
   6     100.00     120.00  6.604610523883218E-03  3.708157308072727E-05 467623176	   6     100.00     120.00  6.604610523883218E-03  3.708157308072727E-05 467623176	   6     100.00     120.00  6.107949199471783E-03  3.296135475977577E-05 467623176	   6     100.00     120.00  6.107949199471783E-03  3.296135475977577E-05 467623176	   6     100.00     120.00  7.185602752431425E-03  4.224915645461204E-05 467623176	   6     100.00     120.00  7.185602752431425E-03  4.224915645461204E-05 467623176	   6     100.00     120.00  6.604610523883218E-03  3.708157308072727E-05 467623176
   7     120.00     140.00  4.809370397130393E-03  4.205294466696334E-05 388632069	   7     120.00     140.00  4.809370397130393E-03  4.205294466696334E-05 388632069	   7     120.00     140.00  4.430971499992465E-03  3.630505270835691E-05 388632069	   7     120.00     140.00  4.430971499992465E-03  3.630505270835691E-05 388632069	   7     120.00     140.00  5.255074543713850E-03  4.949001401733467E-05 388632069	   7     120.00     140.00  5.255074543713850E-03  4.949001401733467E-05 388632069	   7     120.00     140.00  4.809370397130393E-03  4.205294466696334E-05 388632069
   8     140.00     160.00  3.431796597549127E-03  2.187253370374455E-05 325056220	   8     140.00     160.00  3.431796597549127E-03  2.187253370374455E-05 325056220	   8     140.00     160.00  3.147343966263814E-03  1.945156679773797E-05 325056220	   8     140.00     160.00  3.147343966263814E-03  1.945156679773797E-05 325056220	   8     140.00     160.00  3.769689206947225E-03  2.491120787379450E-05 325056220	   8     140.00     160.00  3.769689206947225E-03  2.491120787379450E-05 325056220	   8     140.00     160.00  3.431796597549127E-03  2.187253370374455E-05 325056220
   9     160.00     180.00  2.425943708940200E-03  1.999106715162354E-05 274026255	   9     160.00     180.00  2.425943708940200E-03  1.999106715162354E-05 274026255	   9     160.00     180.00  2.218097186635387E-03  1.772026879028431E-05 274026255	   9     160.00     180.00  2.218097186635387E-03  1.772026879028431E-05 274026255	   9     160.00     180.00  2.674017290678518E-03  2.286535354796694E-05 274026255	   9     160.00     180.00  2.674017290678518E-03  2.286535354796694E-05 274026255	   9     160.00     180.00  2.425943708940200E-03  1.999106715162354E-05 274026255
  10     180.00     200.00  1.763785354333251E-03  1.667509404779208E-05 232924434	  10     180.00     200.00  1.763785354333251E-03  1.667509404779208E-05 232924434	  10     180.00     200.00  1.606566367703288E-03  1.469143309228402E-05 232924434	  10     180.00     200.00  1.606566367703288E-03  1.469143309228402E-05 232924434	  10     180.00     200.00  1.952640445030534E-03  1.920776572319799E-05 232924434	  10     180.00     200.00  1.952640445030534E-03  1.920776572319799E-05 232924434	  10     180.00     200.00  1.763785354333251E-03  1.667509404779208E-05 232924434
