# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  1.532469800724747E-02  3.735770111989104E-06 623779824	   3      40.00      60.00  1.532469800724747E-02  3.735770111989104E-06 623779824	   3      40.00      60.00  1.423112395989001E-02  3.394998933702548E-06 623779824	   3      40.00      60.00  1.423112395989001E-02  3.394998933702548E-06 623779824	   3      40.00      60.00  1.658695609634887E-02  4.153951233416655E-06 623779824	   3      40.00      60.00  1.658695609634887E-02  4.153951233416655E-06 623779824	   3      40.00      60.00  1.532469800724747E-02  3.735770111989104E-06 623779824
   4      60.00      80.00  1.412087957532506E-02  3.771219505453084E-06 554362111	   4      60.00      80.00  1.412087957532506E-02  3.771219505453084E-06 554362111	   4      60.00      80.00  1.309860082086862E-02  3.427650395530362E-06 554362111	   4      60.00      80.00  1.309860082086862E-02  3.427650395530362E-06 554362111	   4      60.00      80.00  1.530420227157349E-02  4.192703585991093E-06 554362111	   4      60.00      80.00  1.530420227157349E-02  4.192703585991093E-06 554362111	   4      60.00      80.00  1.412087957532506E-02  3.771219505453084E-06 554362111
   5      80.00     100.00  1.123427415682414E-02  3.578319579349311E-06 423530856	   5      80.00     100.00  1.123427415682414E-02  3.578319579349311E-06 423530856	   5      80.00     100.00  1.039567253267635E-02  3.247133280980957E-06 423530856	   5      80.00     100.00  1.039567253267635E-02  3.247133280980957E-06 423530856	   5      80.00     100.00  1.221024903353096E-02  3.985530303881489E-06 423530856	   5      80.00     100.00  1.221024903353096E-02  3.985530303881489E-06 423530856	   5      80.00     100.00  1.123427415682414E-02  3.578319579349311E-06 423530856
   6     100.00     120.00  8.367693928860293E-03  3.188837921678924E-06 324365549	   6     100.00     120.00  8.367693928860293E-03  3.188837921678924E-06 324365549	   6     100.00     120.00  7.717283040372888E-03  2.891100402901931E-06 324365549	   6     100.00     120.00  7.717283040372888E-03  2.891100402901931E-06 324365549	   6     100.00     120.00  9.129828045976434E-03  3.555299401732446E-06 324365549	   6     100.00     120.00  9.129828045976434E-03  3.555299401732446E-06 324365549	   6     100.00     120.00  8.367693928860293E-03  3.188837921678924E-06 324365549
   7     120.00     140.00  6.179682643521508E-03  2.788963901007015E-06 256147953	   7     120.00     140.00  6.179682643521508E-03  2.788963901007015E-06 256147953	   7     120.00     140.00  5.678995508836896E-03  2.524716054927122E-06 256147953	   7     120.00     140.00  5.678995508836896E-03  2.524716054927122E-06 256147953	   7     120.00     140.00  6.770388841520351E-03  3.114753471204001E-06 256147953	   7     120.00     140.00  6.770388841520351E-03  3.114753471204001E-06 256147953	   7     120.00     140.00  6.179682643521508E-03  2.788963901007015E-06 256147953
   8     140.00     160.00  4.612029938744987E-03  2.408767649131318E-06 207372442	   8     140.00     160.00  4.612029938744987E-03  2.408767649131318E-06 207372442	   8     140.00     160.00  4.224013607954053E-03  2.177077944783618E-06 207372442	   8     140.00     160.00  4.224013607954053E-03  2.177077944783618E-06 207372442	   8     140.00     160.00  5.072616494452011E-03  2.694990463147566E-06 207372442	   8     140.00     160.00  5.072616494452011E-03  2.694990463147566E-06 207372442	   8     140.00     160.00  4.612029938744987E-03  2.408767649131318E-06 207372442
   9     160.00     180.00  3.507980325837233E-03  2.107326879220199E-06 170880751	   9     160.00     180.00  3.507980325837233E-03  2.107326879220199E-06 170880751	   9     160.00     180.00  3.202372253096941E-03  1.900000225716391E-06 170880751	   9     160.00     180.00  3.202372253096941E-03  1.900000225716391E-06 170880751	   9     160.00     180.00  3.872805799269658E-03  2.364159361158241E-06 170880751	   9     160.00     180.00  3.872805799269658E-03  2.364159361158241E-06 170880751	   9     160.00     180.00  3.507980325837233E-03  2.107326879220199E-06 170880751
  10     180.00     200.00  2.706152606312957E-03  1.826471982780367E-06 142724867	  10     180.00     200.00  2.706152606312957E-03  1.826471982780367E-06 142724867	  10     180.00     200.00  2.463061617319203E-03  1.644614669965187E-06 142724867	  10     180.00     200.00  2.463061617319203E-03  1.644614669965187E-06 142724867	  10     180.00     200.00  2.997777642375672E-03  2.051999778307180E-06 142724867	  10     180.00     200.00  2.997777642375672E-03  2.051999778307180E-06 142724867	  10     180.00     200.00  2.706152606312957E-03  1.826471982780367E-06 142724867
  11     200.00     220.00  2.111353244774949E-03  1.590213796322080E-06 120577705	  11     200.00     220.00  2.111353244774949E-03  1.590213796322080E-06 120577705	  11     200.00     220.00  1.916242554411728E-03  1.429783342745506E-06 120577705	  11     200.00     220.00  1.916242554411728E-03  1.429783342745506E-06 120577705	  11     200.00     220.00  2.346502105566220E-03  1.789474543284408E-06 120577705	  11     200.00     220.00  2.346502105566220E-03  1.789474543284408E-06 120577705	  11     200.00     220.00  2.111353244774949E-03  1.590213796322080E-06 120577705
  12     220.00     240.00  1.668180568020808E-03  1.400322694469604E-06 102748367	  12     220.00     240.00  1.668180568020808E-03  1.400322694469604E-06 102748367	  12     220.00     240.00  1.509970670537164E-03  1.256795781470732E-06 102748367	  12     220.00     240.00  1.509970670537164E-03  1.256795781470732E-06 102748367	  12     220.00     240.00  1.859649471467306E-03  1.578930413508278E-06 102748367	  12     220.00     240.00  1.859649471467306E-03  1.578930413508278E-06 102748367	  12     220.00     240.00  1.668180568020808E-03  1.400322694469604E-06 102748367
  13     240.00     260.00  1.321877628686051E-03  1.214862394695497E-06 88276569	  13     240.00     260.00  1.321877628686051E-03  1.214862394695497E-06 88276569	  13     240.00     260.00  1.193342853849511E-03  1.088613440672843E-06 88276569	  13     240.00     260.00  1.193342853849511E-03  1.088613440672843E-06 88276569	  13     240.00     260.00  1.478067369896712E-03  1.372333113624572E-06 88276569	  13     240.00     260.00  1.478067369896712E-03  1.372333113624572E-06 88276569	  13     240.00     260.00  1.321877628686051E-03  1.214862394695497E-06 88276569
  14     260.00     280.00  1.059227719081348E-03  1.069510375773261E-06 76441117	  14     260.00     280.00  1.059227719081348E-03  1.069510375773261E-06 76441117	  14     260.00     280.00  9.537482623862884E-04  9.567349459696377E-07 76441117	  14     260.00     280.00  9.537482623862884E-04  9.567349459696377E-07 76441117	  14     260.00     280.00  1.187893452748655E-03  1.210387114825316E-06 76441117	  14     260.00     280.00  1.187893452748655E-03  1.210387114825316E-06 76441117	  14     260.00     280.00  1.059227719081348E-03  1.069510375773261E-06 76441117
  15     280.00     300.00  8.554894076775561E-04  9.391615269595809E-07 66615966	  15     280.00     300.00  8.554894076775561E-04  9.391615269595809E-07 66615966	  15     280.00     300.00  7.684116979679931E-04  8.392077298697172E-07 66615966	  15     280.00     300.00  7.684116979679931E-04  8.392077298697172E-07 66615966	  15     280.00     300.00  9.620867632055427E-04  1.064163490259636E-06 66615966	  15     280.00     300.00  9.620867632055427E-04  1.064163490259636E-06 66615966	  15     280.00     300.00  8.554894076775561E-04  9.391615269595809E-07 66615966
  16     300.00     320.00  6.934568613479428E-04  8.348938772130137E-07 58376909	  16     300.00     320.00  6.934568613479428E-04  8.348938772130137E-07 58376909	  16     300.00     320.00  6.213365516686974E-04  7.447925029479942E-07 58376909	  16     300.00     320.00  6.213365516686974E-04  7.447925029479942E-07 58376909	  16     300.00     320.00  7.820533921876162E-04  9.477704541538927E-07 58376909	  16     300.00     320.00  7.820533921876162E-04  9.477704541538927E-07 58376909	  16     300.00     320.00  6.934568613479428E-04  8.348938772130137E-07 58376909
  17     320.00     340.00  5.655403943883494E-04  7.326774660187001E-07 51446719	  17     320.00     340.00  5.655403943883494E-04  7.326774660187001E-07 51446719	  17     320.00     340.00  5.055574636097633E-04  6.526015858289670E-07 51446719	  17     320.00     340.00  5.055574636097633E-04  6.526015858289670E-07 51446719	  17     320.00     340.00  6.394628866179473E-04  8.331267196441948E-07 51446719	  17     320.00     340.00  6.394628866179473E-04  8.331267196441948E-07 51446719	  17     320.00     340.00  5.655403943883494E-04  7.326774660187001E-07 51446719
  18     340.00     360.00  4.637418507378605E-04  6.509243516094406E-07 45569045	  18     340.00     360.00  4.637418507378605E-04  6.509243516094406E-07 45569045	  18     340.00     360.00  4.135821279961019E-04  5.786197102204892E-07 45569045	  18     340.00     360.00  4.135821279961019E-04  5.786197102204892E-07 45569045	  18     340.00     360.00  5.257579247739575E-04  7.418347987600806E-07 45569045	  18     340.00     360.00  5.257579247739575E-04  7.418347987600806E-07 45569045	  18     340.00     360.00  4.637418507378605E-04  6.509243516094406E-07 45569045
