# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  1.338259743795833E-02  3.442520214122740E-05 930244956	   3      40.00      60.00  1.338259743795833E-02  3.442520214122740E-05 930244956	   3      40.00      60.00  1.247420771295029E-02  3.074914101448978E-05 930244956	   3      40.00      60.00  1.247420771295029E-02  3.074914101448978E-05 930244956	   3      40.00      60.00  1.442663054788166E-02  3.905610088503080E-05 930244956	   3      40.00      60.00  1.442663054788166E-02  3.905610088503080E-05 930244956	   3      40.00      60.00  1.338259743795833E-02  3.442520214122740E-05 930244956
   4      60.00      80.00  1.219658410461514E-02  7.627143432737719E-05 831592615	   4      60.00      80.00  1.219658410461514E-02  7.627143432737719E-05 831592615	   4      60.00      80.00  1.136414563202918E-02  6.541192627867887E-05 831592615	   4      60.00      80.00  1.136414563202918E-02  6.541192627867887E-05 831592615	   4      60.00      80.00  1.315420602832853E-02  9.044325355544540E-05 831592615	   4      60.00      80.00  1.315420602832853E-02  9.044325355544540E-05 831592615	   4      60.00      80.00  1.219658410461514E-02  7.627143432737719E-05 831592615
   5      80.00     100.00  9.574111482954771E-03  3.932193061445700E-05 641181313	   5      80.00     100.00  9.574111482954771E-03  3.932193061445700E-05 641181313	   5      80.00     100.00  8.897703023915755E-03  3.514249616937654E-05 641181313	   5      80.00     100.00  8.897703023915755E-03  3.514249616937654E-05 641181313	   5      80.00     100.00  1.035728045555185E-02  4.454005701547676E-05 641181313	   5      80.00     100.00  1.035728045555185E-02  4.454005701547676E-05 641181313	   5      80.00     100.00  9.574111482954771E-03  3.932193061445700E-05 641181313
   6     100.00     120.00  7.090674755030785E-03  3.630029332494225E-05 495618208	   6     100.00     120.00  7.090674755030785E-03  3.630029332494225E-05 495618208	   6     100.00     120.00  6.567074237334703E-03  3.248941944461747E-05 495618208	   6     100.00     120.00  6.567074237334703E-03  3.248941944461747E-05 495618208	   6     100.00     120.00  7.701772321325453E-03  4.105880544277781E-05 495618208	   6     100.00     120.00  7.701772321325453E-03  4.105880544277781E-05 495618208	   6     100.00     120.00  7.090674755030785E-03  3.630029332494225E-05 495618208
   7     120.00     140.00  5.142787501695461E-03  3.805590034226584E-05 394373394	   7     120.00     140.00  5.142787501695461E-03  3.805590034226584E-05 394373394	   7     120.00     140.00  4.746629652156480E-03  3.421684048862542E-05 394373394	   7     120.00     140.00  4.746629652156480E-03  3.421684048862542E-05 394373394	   7     120.00     140.00  5.608180919808731E-03  4.283241511026570E-05 394373394	   7     120.00     140.00  5.608180919808731E-03  4.283241511026570E-05 394373394	   7     120.00     140.00  5.142787501695461E-03  3.805590034226584E-05 394373394
   8     140.00     160.00  3.764502725844829E-03  6.165766255575253E-05 321308938	   8     140.00     160.00  3.764502725844829E-03  6.165766255575253E-05 321308938	   8     140.00     160.00  3.464322589158761E-03  5.574567714654060E-05 321308938	   8     140.00     160.00  3.464322589158761E-03  5.574567714654060E-05 321308938	   8     140.00     160.00  4.119227506942358E-03  6.881836069160869E-05 321308938	   8     140.00     160.00  4.119227506942358E-03  6.881836069160869E-05 321308938	   8     140.00     160.00  3.764502725844829E-03  6.165766255575253E-05 321308938
   9     160.00     180.00  2.814369719551399E-03  3.013831566966301E-05 266286161	   9     160.00     180.00  2.814369719551399E-03  3.013831566966301E-05 266286161	   9     160.00     180.00  2.582728178450241E-03  2.666701555068858E-05 266286161	   9     160.00     180.00  2.582728178450241E-03  2.666701555068858E-05 266286161	   9     160.00     180.00  3.089439463268142E-03  3.454677991801534E-05 266286161	   9     160.00     180.00  3.089439463268142E-03  3.454677991801534E-05 266286161	   9     160.00     180.00  2.814369719551399E-03  3.013831566966301E-05 266286161
  10     180.00     200.00  2.164659488693109E-03  2.222720621741806E-05 223526868	  10     180.00     200.00  2.164659488693109E-03  2.222720621741806E-05 223526868	  10     180.00     200.00  1.979948627466506E-03  1.983351663410306E-05 223526868	  10     180.00     200.00  1.979948627466506E-03  1.983351663410306E-05 223526868	  10     180.00     200.00  2.385296494187911E-03  2.523680410431062E-05 223526868	  10     180.00     200.00  2.385296494187911E-03  2.523680410431062E-05 223526868	  10     180.00     200.00  2.164659488693109E-03  2.222720621741806E-05 223526868
  11     200.00     220.00  1.681531058908844E-03  1.901491790700629E-05 189640628	  11     200.00     220.00  1.681531058908844E-03  1.901491790700629E-05 189640628	  11     200.00     220.00  1.532366768550658E-03  1.710066990283437E-05 189640628	  11     200.00     220.00  1.532366768550658E-03  1.710066990283437E-05 189640628	  11     200.00     220.00  1.860924678586462E-03  2.138794899610695E-05 189640628	  11     200.00     220.00  1.860924678586462E-03  2.138794899610695E-05 189640628	  11     200.00     220.00  1.681531058908844E-03  1.901491790700629E-05 189640628
  12     220.00     240.00  1.315184371860051E-03  1.670489144990499E-05 162269935	  12     220.00     240.00  1.315184371860051E-03  1.670489144990499E-05 162269935	  12     220.00     240.00  1.196558823712702E-03  1.484948155222300E-05 162269935	  12     220.00     240.00  1.196558823712702E-03  1.484948155222300E-05 162269935	  12     220.00     240.00  1.458260375068365E-03  1.902277778207530E-05 162269935	  12     220.00     240.00  1.458260375068365E-03  1.902277778207530E-05 162269935	  12     220.00     240.00  1.315184371860051E-03  1.670489144990499E-05 162269935
  13     240.00     260.00  1.021384621348666E-03  1.640592813007259E-05 139931288	  13     240.00     260.00  1.021384621348666E-03  1.640592813007259E-05 139931288	  13     240.00     260.00  9.275586735141973E-04  1.454154219330033E-05 139931288	  13     240.00     260.00  9.275586735141973E-04  1.454154219330033E-05 139931288	  13     240.00     260.00  1.134728282251012E-03  1.877096381541343E-05 139931288	  13     240.00     260.00  1.134728282251012E-03  1.877096381541343E-05 139931288	  13     240.00     260.00  1.021384621348666E-03  1.640592813007259E-05 139931288
  14     260.00     280.00  8.099513840509253E-04  1.691000875169733E-05 121538692	  14     260.00     280.00  8.099513840509253E-04  1.691000875169733E-05 121538692	  14     260.00     280.00  7.335734919186573E-04  1.476803701816966E-05 121538692	  14     260.00     280.00  7.335734919186573E-04  1.476803701816966E-05 121538692	  14     260.00     280.00  9.025487623841317E-04  1.967524396689400E-05 121538692	  14     260.00     280.00  9.025487623841317E-04  1.967524396689400E-05 121538692	  14     260.00     280.00  8.099513840509253E-04  1.691000875169733E-05 121538692
  15     280.00     300.00  6.413629169168417E-04  1.287790080380785E-05 106232565	  15     280.00     300.00  6.413629169168417E-04  1.287790080380785E-05 106232565	  15     280.00     300.00  5.789004678725809E-04  1.143344431773154E-05 106232565	  15     280.00     300.00  5.789004678725809E-04  1.143344431773154E-05 106232565	  15     280.00     300.00  7.175971002779640E-04  1.469639563964777E-05 106232565	  15     280.00     300.00  7.175971002779640E-04  1.469639563964777E-05 106232565	  15     280.00     300.00  6.413629169168417E-04  1.287790080380785E-05 106232565
  16     300.00     320.00  5.057559418801197E-04  3.505549820376672E-05 93375581	  16     300.00     320.00  5.057559418801197E-04  3.505549820376672E-05 93375581	  16     300.00     320.00  4.574575581419529E-04  2.980719578530949E-05 93375581	  16     300.00     320.00  4.574575581419529E-04  2.980719578530949E-05 93375581	  16     300.00     320.00  5.643725795512990E-04  4.189436256860261E-05 93375581	  16     300.00     320.00  5.643725795512990E-04  4.189436256860261E-05 93375581	  16     300.00     320.00  5.057559418801197E-04  3.505549820376672E-05 93375581
  17     320.00     340.00  3.885282688804312E-04  1.338897403534293E-05 82514487	  17     320.00     340.00  3.885282688804312E-04  1.338897403534293E-05 82514487	  17     320.00     340.00  3.500518488381583E-04  1.168946445295636E-05 82514487	  17     320.00     340.00  3.500518488381583E-04  1.168946445295636E-05 82514487	  17     320.00     340.00  4.355693979321185E-04  1.558530105268721E-05 82514487	  17     320.00     340.00  4.355693979321185E-04  1.558530105268721E-05 82514487	  17     320.00     340.00  3.885282688804312E-04  1.338897403534293E-05 82514487
  18     340.00     360.00  3.221152768677979E-04  1.145670316079156E-05 73271965	  18     340.00     360.00  3.221152768677979E-04  1.145670316079156E-05 73271965	  18     340.00     360.00  2.889597773849220E-04  1.013619642007176E-05 73271965	  18     340.00     360.00  2.889597773849220E-04  1.013619642007176E-05 73271965	  18     340.00     360.00  3.629803342627827E-04  1.310738385736144E-05 73271965	  18     340.00     360.00  3.629803342627827E-04  1.310738385736144E-05 73271965	  18     340.00     360.00  3.221152768677979E-04  1.145670316079156E-05 73271965
